uid,orig_p,resp_p,duration,orig_bytes,resp_bytes,tls_version,cipher_strength,tls_established
Cnrhgk4FZh0r3EYnf5,53440,5000,0.019817,2165,6232,1,3,1
CPI6TI1DaY23U6Nh8l,53426,5000,0.020249,2165,6232,1,3,1
CCSE6v2gzybUFrCw9a,53420,5000,0.019851,2165,6232,1,3,1
Cf8KTBpER4Mhuwx0e,53408,5000,0.020095,2165,6232,1,3,1
CmzlAZ1WdQxx1o3zph,53400,5000,0.019957,2165,6232,1,3,1
COHVbB3sQk5xaxRjI5,53384,5000,0.01972,2165,6232,1,3,1
COptYL11XsE8s2nlZ6,53274,5000,0.022573,2165,6232,1,3,1
Cw2fdn3ThwcULXG3mi,53276,5000,0.020296,2165,6232,1,3,1
C2NFKa2yqzGeZ6g701,53288,5000,0.019901,2165,6232,1,3,1
C84eCH3eNYNpfYwQh1,53370,5000,0.019933,2165,6232,1,3,1
C9ReQb1KA9vXyj8zI3,53290,5000,0.020726,2165,6232,1,3,1
CGJQkf8ThZpERNpvj,53326,5000,0.019908,2165,6232,1,3,1
CnSBpuHahrhMSe0b1,53378,5000,0.019981,2165,6232,1,3,1
CjNXfv4epbpnRjmLTk,53350,5000,0.019742,2165,6232,1,3,1
CVWPtt23aLZP9taKb5,53294,5000,0.019892,2165,6232,1,3,1
CNY0Kd2GZfJYj9bF1i,53340,5000,0.019889,2165,6232,1,3,1
CTNSQfyUWPqkISiPj,53282,5000,0.020013,2165,6232,1,3,1
CatfhW1P7lOI7uuto4,53310,5000,0.019778,2165,6232,1,3,1
Cv6clJbnopvRJmjY5,53380,5000,0.019924,2165,6232,1,3,1
CWWqll2PwNMJNlA244,53366,5000,0.019953,2165,6232,1,3,1
